ID,FirstName,LastName,Email,Phone,DateOfBirth,Department,Salary,Status,Notes,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42,Column_43,Column_44,Column_45,Column_46,Column_47,Column_48,Column_49,Column_50
11,Evan,Williams,evan.williams@example.com,555-6850,1990-05-15,HR,119172,Pending,Needs review, ,391,924,682,,#N/A,, ,,Data_11_20,,811,Data_11_23,Data_11_24,,Data_11_26,,Data_11_28,,,Data_11_31,273,Data_11_33,Data_11_34,611,193,,,,,Data_11_41,466,Data_11_43,672,, ,#N/A,96,,
12,Hannah,Jones,hannah.jones@example.com,,05/15/1990,HR,70432,Active,, ,,,error,Data_12_15,Data_12_16,,,error,Data_12_20,Data_12_21,Data_12_22,error,,330,518,Data_12_27,337,912,error,575,,514,130,,,Data_12_37,,,,,397,Data_12_43,733,190,,,966,Data_12_49, 
13,Alice,Garcia,alice.garcia@example.com,555-4399,05/15/1990,Marketing,,Pending,On leave,Data_13_11,270,20,626,Data_13_15,,310,,, , ,570,#N/A,Data_13_24, ,736,Data_13_27,813,Data_13_29,907,#N/A,879,607,,,,error,,Data_13_39,606,Data_13_41,292,107,Data_13_44,387,,Data_13_47,NULL,142,error
14,Charlie,Jones,charlie.jones@example.com,555-3488,May 15th 90,Marketing,94977,Active,On leave,error,864,83,,Data_14_15,,#N/A,Data_14_18,,29,367,240,334,745,,,,,error, ,60,279,Data_14_33,193,482,,539,Data_14_38,Data_14_39,Data_14_40,374,,NULL,Data_14_44,#N/A,,Data_14_47,,488,Data_14_50
15,Alice,Brown,alice.brown@example.com,555-2676,1990-05-15,Sales,88033,Inactive,,555,604,Data_15_13,,580,NULL,131,,782,,,Data_15_22,Data_15_23,350,,NULL,NULL,#N/A,75,Data_15_30,612,563,,,Data_15_35,97,,,175,Data_15_40,Data_15_41,869,300,Data_15_44,,212,,error,690,9
16,Alice,Miller,alice.miller@example.com,555-8667,1990-05-15,,92920,Inactive,,51,970,Data_16_13,Data_16_14,,Data_16_16,Data_16_17,152,26,964,687,,912,Data_16_24,94,976,Data_16_27,#N/A,,error,,error,Data_16_33,Data_16_34,823, ,468,,,737,,,,330,#N/A,,Data_16_47,576,, 
17,,Davis,hannah.davis@example.com,555-3021,05/15/1990,HR,TBD,Pending,On leave,,99,971,Data_17_14,Data_17_15,909,391,,error,783,806,,Data_17_23,Data_17_24, ,182,851, ,Data_17_29,Data_17_30,432,,85,Data_17_34,,474,,,280,304,NULL,,975,,,#N/A,,Data_17_48,,Data_17_50
18,Charlie,Williams,charlie.williams@example.com,555-7350,05/15/1990,IT,50243,,,17,811,907,NULL,,Data_18_16,110,742,Data_18_19,768,,816,287,,Data_18_25,,#N/A,676,Data_18_29,534,480,Data_18_32,804, ,405,74,657,Data_18_38,Data_18_39,NULL,Data_18_41,615,,912,,293,,147,NULL,Data_18_50
19,Bob,Smith,bob.smithexample.com,555-3874,1990-05-15,Sales,$61270,Pending,Needs review,256,Data_19_12,Data_19_13,Data_19_14,NULL,915,,Data_19_18,Data_19_19,,,,165,Data_19_24,,,,216,#N/A,,Data_19_31,,534,,,,,NULL,,,,,Data_19_43,,Data_19_45,102,, ,552, 
20,George,Johnson,george.johnsonexample.com,,1990-05-15,Marketing,,Pending,On leave,85,,Data_20_13,623,error,,error,#N/A,60,460,,,,229,,,,488,55, ,37,75,Data_20_33,272,721,,,,,,319,571,Data_20_43,931,,680,,,,776
21,Bob,Garcia,bob.garcia@example.com,555-7177,1990-05-15,Finance,96442,Pending,Good worker,Data_21_11,886,,Data_21_14,185,355,706,992,#N/A,,844,,,218,,755,,,Data_21_29,#N/A,825,,77,,319,,#N/A,,NULL,Data_21_40,499,error,Data_21_43,,383,Data_21_46,#N/A,467, ,338
22,Hannah,Davis,hannah.davisexample.com,555-3040,,IT,115747,Pending,On leave,997,Data_22_12,Data_22_13,205,838,Data_22_16,,Data_22_18,,Data_22_20,#N/A,Data_22_22,Data_22_23,,,824,996,,565,,Data_22_31,, ,error,54, ,,742,470,error,,,Data_22_43,984,Data_22_45,,873,Data_22_48,710,
23,Diana,Garcia,diana.garcia@example.com,555-7116,May 15th 90,Sales,103362,Inactive,On leave,,Data_23_12,Data_23_13,NULL,617,11,Data_23_17,Data_23_18,#N/A, ,,474,165,,error,583,Data_23_27,,,Data_23_30,705,,#N/A,,error,Data_23_36,NULL,877,155,,Data_23_41,490,22,,,Data_23_46,,Data_23_48,465,997
24,Bob,Johnson,bob.johnson@example.com,555-9978,1990-05-15,Marketing,$90241,Active,"Promoted, highly skilled",978,788,640,526,Data_24_15,Data_24_16,,146,886,,Data_24_21,827,Data_24_23,930,0,449,,815,,Data_24_30,NULL,NULL,error,error,Data_24_35,667,Data_24_37,,515,Data_24_40,,NULL,,Data_24_44,,834,464,770,517,Data_24_50
25,Fiona,Jones,fiona.jones@example.com,555-5016,May 15th 90,HR,95571,Active,"Promoted, highly skilled",10,Data_25_12,Data_25_13,Data_25_14,,,354,Data_25_18,,,NULL,378,,53,Data_25_25,,Data_25_27,,998,#N/A,768,344,Data_25_33,#N/A,,575,,263,542,904,283,Data_25_42,#N/A,,293,989,,,9,Data_25_50
26,Bob,Jones,bob.jonesexample.com,555-2595,1990-05-15,,75670,Active,,,353,Data_26_13,727,677,Data_26_16,842,51,388,,,Data_26_22,,326,#N/A,Data_26_26,460,Data_26_28,Data_26_29,763,Data_26_31,995,240,491,Data_26_35,437,error,NULL,Data_26_39,Data_26_40,Data_26_41, ,,88,,#N/A,Data_26_47,,Data_26_49,NULL
27,George,Jones,george.jones@example.com,555-7053,1990-05-15,Sales,54071,Inactive,,,,Data_27_13,98, ,#N/A,,,829,Data_27_20,561,,361,Data_27_24,NULL,118,635,NULL,#N/A,,,729,,915,,Data_27_36,Data_27_37,881,736,Data_27_40,,41,49,186,Data_27_45,905,250,541,NULL,error
28,Fiona,Miller,fiona.miller@example.com,555-1201,,IT,57967,,,Data_28_11,Data_28_12,,Data_28_14,849,711,,Data_28_18,Data_28_19,,NULL,342,194,236,,,,NULL,error,Data_28_30,198,,error, ,501,Data_28_36,NULL,,,927,552,,,733,Data_28_45,NULL,,error,,Data_28_50
29,Diana,Garcia,diana.garcia@example.com,555-1296,05/15/1990,IT,50211,,On leave,331,528,28,658,Data_29_15,Data_29_16,593,,Data_29_19,,335,#N/A,,Data_29_24,518,289,181,,,55,397,Data_29_32,Data_29_33,524,Data_29_35,277,,736,,571,Data_29_41,error,,Data_29_44,,NULL,416,693,Data_29_49,295
30,Charlie,Johnson,charlie.johnson@example.com,555-8105,,HR,$84008,Inactive,,661,,516,18,229,,Data_30_17,180,,651,,602,error,763,Data_30_25,243,529,,,#N/A,Data_30_31,122,973,,61,Data_30_36,,NULL,,891,error,,211,,,509,,749,834,Data_30_50
31,Bob,Brown,bob.brown@example.com,555-4650,1990-05-15,,53689,Active,,,Data_31_12,4,43,843,121,796,865, ,,,Data_31_22,,Data_31_24,692,,NULL,Data_31_28,,Data_31_30,745,635,434,,Data_31_35,,821,,,,Data_31_41,,,718,,NULL,363,,Data_31_49, 
32,Fiona,Miller,fiona.miller@example.com,,05/15/1990,IT,67984,Pending,,Data_32_11,652,45,373,Data_32_15,118,996,,#N/A,,NULL,356,,,396,Data_32_26,206,898,Data_32_29,500,822,384,#N/A,,NULL,730,226,,,687,944,Data_32_42,,390,,,,746,,Data_32_50
33,Fiona,Smith,fiona.smithexample.com,,1990-05-15,HR,50064,,Needs review,#N/A,427,725,,357,610,535,Data_33_18,error,,,Data_33_22,,,821,292,198,#N/A,,error,243,Data_33_32,#N/A,694,error,190,Data_33_37,,,,,Data_33_42,error,Data_33_44,,Data_33_46,31,Data_33_48,Data_33_49,
34,Fiona,Williams,fiona.williams@example.com,555-5201,May 15th 90,Marketing,$117870,Inactive,"Promoted, highly skilled",600,583,Data_34_13,,,,656,489,Data_34_19,,error,,34,Data_34_24,324,675,332,128,Data_34_29,Data_34_30,,353,418,Data_34_34,NULL,Data_34_36,709,Data_34_38,error,,Data_34_41,51,Data_34_43,Data_34_44,832,319,Data_34_47,170,,Data_34_50
35,Charlie,Garcia,,555-6889,05/15/1990,Finance,,Inactive,,,Data_35_12,,,error,,#N/A,382,331,,Data_35_21,Data_35_22,954,856,error,790,947,Data_35_28, ,Data_35_30,116,,,,,NULL,,Data_35_38,,,,Data_35_42,920,,,488,,,Data_35_49,#N/A
36,Evan,Brown,evan.brown@example.com,555-1741,1990-05-15,Sales,TBD,Active,On leave,error,652,763,Data_36_14,,116,,,,38,,334,Data_36_23,Data_36_24,194,Data_36_26,402,NULL,489,Data_36_30,495,17, ,60,,Data_36_36,855,,Data_36_39,543,,439,755,347,,,#N/A,,,75
37,Diana,Miller,diana.miller@example.com,555-7575,1990-05-15,Finance,,Pending,"Promoted, highly skilled",Data_37_11, ,,error,509,Data_37_16,,279,736,,#N/A,error,678,,,142,,524,355,445,,,Data_37_33,255,715,795,Data_37_37,Data_37_38,Data_37_39,,Data_37_41,NULL,138,NULL, ,360,Data_37_47,,,4
38,George,Smith,,555-9610,1990-05-15,HR,107347,Pending,,,965,Data_38_13,430,422,, ,,Data_38_19,,#N/A,,Data_38_23,#N/A,Data_38_25,Data_38_26,891, ,633,586,,655,,,,,Data_38_37,,Data_38_39,,,Data_38_42,,475,Data_38_45,Data_38_46,Data_38_47,Data_38_48,,
39,George,Miller,george.miller@example.com,555-3959,1990-05-15,Sales,,,,580,Data_39_12,,,Data_39_15,515,,938,321,Data_39_20,839,Data_39_22,717,,,NULL,391,#N/A,,Data_39_30,Data_39_31,469,Data_39_33,,525,#N/A,Data_39_37,618,,298,NULL,#N/A,Data_39_43,, ,586,,Data_39_48,NULL,832
40,Alice,Williams,alice.williams@example.com,,05/15/1990,Sales,$103843,Inactive,Good worker,,NULL,,430,,,967,674,Data_40_19, ,error,Data_40_22,Data_40_23,Data_40_24,Data_40_25, ,,,658,870,#N/A,Data_40_32,560,162,Data_40_35,,Data_40_37,247,418,,713,NULL,Data_40_43,error,,Data_40_46,,NULL,Data_40_49,188
41,Alice,Miller,alice.miller@example,555-1091,,HR,69577,Active,Good worker,,301,,,109,447,Data_41_17,Data_41_18, ,993,Data_41_21,465, ,397,,,,Data_41_28,522,699,,515,Data_41_33,786,6,NULL,249,error,Data_41_39,Data_41_40,323,,Data_41_43,, ,Data_41_46,Data_41_47,,797,387
42,Diana,Williams,diana.williamsexample.com,555-9632,1990-05-15,Sales,$73143,Inactive,,418,error,,,98,706,Data_42_17,,Data_42_19,,,Data_42_22,Data_42_23,751,,967,457,537,Data_42_29,,Data_42_31,,742,,,Data_42_36,,,909,#N/A,952,,995,403,,Data_42_46,Data_42_47,136,103,847
43,,Johnson,fiona.johnson@example,,,Marketing,117288,Active,,637,985,520,Data_43_14,Data_43_15,502,627,Data_43_18,842,495,475,,#N/A,Data_43_24,error,,Data_43_27,944,Data_43_29,,Data_43_31,28,,NULL,681,801,,852,,,,884,638,error,NULL,558,685,24,,
44,,Davis,,,1990-05-15,Sales,$87546,Inactive,"Promoted, highly skilled",,,,error,941,640,241,,,132,,Data_44_22,Data_44_23,303,288,865,,,985,24,error,,Data_44_33, ,,Data_44_36,,964,Data_44_39,,914,Data_44_42,Data_44_43,Data_44_44,Data_44_45,Data_44_46,,,,
45,Evan,Miller,evan.miller@example.com,,May 15th 90,Finance,,,Good worker, ,564,NULL,,Data_45_15,Data_45_16,,Data_45_18,Data_45_19,Data_45_20,Data_45_21,Data_45_22,error,,87, ,error,,,Data_45_30,,Data_45_32,,#N/A,319,,233,Data_45_38, ,Data_45_40,,,Data_45_43,,Data_45_45,,Data_45_47,Data_45_48,,error
46,Diana,Jones,diana.jones@example.com,555-9318,,Marketing,$59900,Active,On leave,Data_46_11,126,error,Data_46_14,Data_46_15,#N/A,315,Data_46_18,492,767,,150,603,error, ,Data_46_26,Data_46_27,,,,,,,,116,168,,230,, , ,Data_46_42,NULL,Data_46_44,Data_46_45,NULL,842,511,722,524
47,Bob,Garcia,bob.garcia@example.com,555-3157,1990-05-15,Engineering,76193,Inactive,Needs review,90,,346,320,,,2,Data_47_18,Data_47_19,Data_47_20,789,495,172,Data_47_24,237,864,Data_47_27,, ,,568,NULL,NULL,550,Data_47_35,Data_47_36,#N/A, ,Data_47_39,Data_47_40,911,,,Data_47_44,#N/A,Data_47_46, ,234,,
48,Hannah,Williams,,,05/15/1990,Sales,89775,Inactive,,,Data_48_12,,423,Data_48_15,Data_48_16,Data_48_17,249,164,Data_48_20,215,817,Data_48_23,Data_48_24,Data_48_25,error,NULL,,736,,324,62,Data_48_33,error,Data_48_35,,,738,#N/A,,,302,,770,931,,error,Data_48_48,,Data_48_50
49,Charlie,Brown,charlie.brown@example.com,,,Engineering,$77738,Inactive,,661,,317,707,NULL,965,Data_49_17,499,,,Data_49_21,Data_49_22,#N/A,Data_49_24,Data_49_25,,834,Data_49_28,639,,353,,error,738,,NULL,,Data_49_38,833,338,Data_49_41,Data_49_42,,,error, ,769,NULL,,288
50,Evan,Jones,evan.jones@example.com,555-5959,05/15/1990,Marketing,89129,Inactive,,Data_50_11,Data_50_12,559,929,Data_50_15,,447,,Data_50_19,Data_50_20,553,75,565,Data_50_24,Data_50_25,591,,967,282,484,102,101,598,727,485,966,320,,978,NULL,#N/A,NULL,,Data_50_44,Data_50_45,,,96,,489
51,  George  ,Smith,george.smith@example,555-3554,,Finance,106710,Active,,,NULL,71,,406,973,error, ,,,783,Data_51_22,,884,,768,Data_51_27,360,NULL,837,532,Data_51_32,Data_51_33,Data_51_34,638, ,32,,,,95,943,Data_51_43,,,Data_51_46,339,250,,error
52,Charlie,Garcia,charlie.garcia@example.com,555-8279,05/15/1990,IT,,Pending,"Promoted, highly skilled",,Data_52_12,,760,109,Data_52_16,Data_52_17,, ,NULL,Data_52_21,307,,Data_52_24,,,, ,NULL,,65,593,,Data_52_34,,266,Data_52_37,255,Data_52_39,,#N/A,,907,,Data_52_45,,965,NULL,Data_52_49,
53,George,Miller,george.millerexample.com,555-1788,1990-05-15,Finance,$113079,Inactive,Needs review,,167,870, ,Data_53_15,Data_53_16,199,,926,,385,Data_53_22,Data_53_23,375,Data_53_25,,#N/A,147,899,80,Data_53_31,561,,,135,,468,Data_53_38,755,797,,798,#N/A,error,Data_53_45,Data_53_46,Data_53_47,, ,760
54,,Williams,fiona.williams@example,555-8775,1990-05-15,Engineering,TBD,Pending,,,Data_54_12,112,,Data_54_15, ,866,Data_54_18,error,Data_54_20,406,#N/A,error,Data_54_24,Data_54_25,, ,961,998,556, ,Data_54_32,,NULL,error,,634,,736,Data_54_40,Data_54_41,Data_54_42,error,,,,429,840,Data_54_49,92
55,George,Miller,george.miller@example.com,,1990-05-15,IT,$97791,Active,,,NULL,,,,error,871,553,error,427,626, ,NULL,766,Data_55_25,939,521,Data_55_28,283,Data_55_30,732,,,608,783,794,,940,198,,454,834,,,814,Data_55_46,,, ,
56,George,Smith,,,,Sales,98561,Pending,"Promoted, highly skilled",4,707,Data_56_13, ,Data_56_15,,NULL,,,147,NULL,704,Data_56_23,,847,error,719,44,702,Data_56_30,,246,,,363,,Data_56_37,682,446,676,Data_56_41,791,524,Data_56_44,,Data_56_46,Data_56_47,,Data_56_49,
57,George,Jones,george.jonesexample.com,,1990-05-15,HR,,Pending,Needs review,,372,Data_57_13,677,,Data_57_16,,,,,Data_57_21,Data_57_22,Data_57_23,,470,594,Data_57_27,435,NULL,,Data_57_31,,507,781,error,,Data_57_37,,Data_57_39,12,NULL,,error,, ,,#N/A, ,30,
58,Evan,Garcia,evan.garcia@example.com,555-8583,1990-05-15,IT,79012,Active,,903,,Data_58_13,Data_58_14,NULL,,966,NULL,24,Data_58_20,77,955,Data_58_23,Data_58_24,527,Data_58_26,Data_58_27,438,638,256,447,250,,,Data_58_35,667,error,#N/A,#N/A,NULL,967,248,Data_58_43,Data_58_44,756,811,,Data_58_48,#N/A,
59,Hannah,Garcia,hannah.garciaexample.com,,May 15th 90,HR,116924,Inactive,Needs review,Data_59_11,error, ,Data_59_14,,331,Data_59_17,202,583,Data_59_20,,894, ,992,337,,,#N/A,832,,Data_59_31,,,,NULL,862,,NULL,42,Data_59_40,Data_59_41,,338,error,475,Data_59_46,867,803,,NULL
60,  Bob  ,Johnson,bob.johnson@example.com,555-4897,1990-05-15,Marketing,TBD,Pending,,Data_60_11,,196, ,Data_60_15,,424, ,Data_60_19,,415,731,640,Data_60_24,Data_60_25,#N/A,Data_60_27,error,Data_60_29,#N/A,Data_60_31,972,177, , ,593,329,Data_60_38,, ,17,,Data_60_43,Data_60_44,264,,695,,,NULL
61,Evan,Davis,evan.davisexample.com,555-8016,1990-05-15,,73743,,,Data_61_11,,455,332,,195,528,,207,#N/A,142,error,,73, ,,,,,865,189, ,648,574,error,201,Data_61_37,594,474,638,709, ,NULL,,Data_61_45,,Data_61_47,#N/A,981,
62,Alice,Brown,alice.brownexample.com,,1990-05-15,Marketing,$99617,,Needs review,Data_62_11,NULL,#N/A, ,,NULL,458,,,NULL,Data_62_21,933,,Data_62_24,error,122,70,Data_62_28,169,Data_62_30,Data_62_31,, ,Data_62_34,,NULL,NULL,error,Data_62_39,108,,NULL,error,,,337,838,621,,
63,Alice,,alice.smith@example.com,555-9349,May 15th 90,IT,66978,,,Data_63_11,Data_63_12,#N/A,, ,291,NULL,388,,,error,904,,199, ,,,,,,Data_63_31,919,Data_63_33,,,,506,,Data_63_39,21,,390,878,,31,Data_63_46,,,,357
64,Alice,Smith,alice.smithexample.com,,05/15/1990,Marketing,116560,Inactive,On leave,Data_64_11,,Data_64_13,Data_64_14,Data_64_15,#N/A,,Data_64_18,,37,NULL,441,Data_64_23,Data_64_24,Data_64_25,483, ,#N/A,Data_64_29,,857,442,513,,642,,998,error,813,,Data_64_41,812,111,565,308,,947,,,39
65,Hannah,Jones,hannah.jonesexample.com,555-6891,05/15/1990,Marketing,52778,,Needs review,180,,Data_65_13,#N/A,,,Data_65_17, ,483,,390,error,212,875,,481,Data_65_27,Data_65_28,201,915,,707,243,,,,,,Data_65_39,608,104,,,844,687,353,,,#N/A,
66,Fiona,,fiona.garcia@example.com,555-7832,05/15/1990,Marketing,102876,Pending,,323,,692,,311,Data_66_16,,Data_66_18,,,430,,527,Data_66_24, ,,,,,,Data_66_31,,Data_66_33,850,Data_66_35,290,, ,error,NULL,857,Data_66_42,,380,427,Data_66_46,,,,Data_66_50
67,George,Davis,george.davis@example.com,,05/15/1990,Marketing,60511,,,249,445,,,769,NULL,Data_67_17,NULL,,,Data_67_21,,624,239,156,error,947,Data_67_28,NULL,Data_67_30,54,Data_67_32,192,237,Data_67_35,600,409,Data_67_38,632,,523,Data_67_42,323,NULL,,#N/A,,Data_67_48,887,
68,Charlie,Davis,charlie.davis@example.com,555-2248,05/15/1990,HR,$93033,,Needs review,211, ,263,401,,Data_68_16,Data_68_17,24,,755,Data_68_21,583,Data_68_23, ,NULL, ,96,,867,415,954,#N/A,,,,,,Data_68_38,,Data_68_40,105,,771,,471,Data_68_46,Data_68_47,806,error,99
69,Diana,Davis,diana.davis@example.com,555-8350,05/15/1990,HR,116181,,Good worker,Data_69_11,86,,,,,error,,Data_69_19,Data_69_20,,Data_69_22,,,,Data_69_26,613,Data_69_28,Data_69_29,,573,475,Data_69_33,error,,,750,error,687,639,Data_69_41,NULL,,461,Data_69_45,Data_69_46,,207,324,530
70,Evan,Brown,evan.brown@example.com,555-3847,May 15th 90,Marketing,106205,,,Data_70_11,844,Data_70_13,,,Data_70_16,357,342,80,error,Data_70_21,557,NULL,,Data_70_25,195,NULL,,Data_70_29,,729,#N/A,,298,,789,,Data_70_38,,error,NULL,Data_70_42,,Data_70_44,Data_70_45,572,229,#N/A,Data_70_49,254
71,Fiona,Jones,fiona.jones@example.com,555-2571,1990-05-15,IT,51509,,,Data_71_11,,,56,#N/A,588,, ,742,#N/A,46,,107,Data_71_24,NULL,325,,,Data_71_29, ,390,error, ,,847,,,Data_71_38,Data_71_39,,Data_71_41,354, ,Data_71_44,,906,,,,976
72,Hannah,Jones,hannah.jones@example.com,,1990-05-15,IT,118629,Active,On leave,269,118,error,,Data_72_15,#N/A,#N/A,error,879,Data_72_20,951,617,,,590,,,NULL,581,Data_72_30,812,Data_72_32,,346, ,Data_72_36,,,Data_72_39,71,Data_72_41,,19,Data_72_44,334,102,557, ,Data_72_49,
73,Fiona,Smith,fiona.smith@example.com,555-1029,05/15/1990,HR,106456,Inactive,,139,824,,380,,53,828,error,134,313,424,#N/A,117,Data_73_24,Data_73_25,493,, ,Data_73_29,851,,Data_73_32,,Data_73_34,152,error,500,,,,#N/A,718,254,,Data_73_45,,NULL,Data_73_48, ,696
74,Diana,Williams,diana.williams@example,555-1270,1990-05-15,Engineering,59318,Pending,,,875,378,#N/A,829,, ,Data_74_18, ,,983,,867,NULL,Data_74_25,815,,854,28,,,,782,NULL,931,793,419,449,,,538,,Data_74_43,521,,719,,,Data_74_49,556
75,Bob,Williams,bob.williams@example.com,555-8776,05/15/1990,IT,TBD,Pending,Good worker,618,830,18,673,,502, ,,,116,, ,Data_75_23,Data_75_24,,,Data_75_27,Data_75_28,Data_75_29,664,Data_75_31,,Data_75_33,,,139,,Data_75_38,#N/A,error,79,,,Data_75_44,Data_75_45,error,193,Data_75_48, ,
76,Evan,Jones,evan.jonesexample.com,,May 15th 90,,80694,,"Promoted, highly skilled",Data_76_11,,464,,Data_76_15,Data_76_16,966,Data_76_18,751,,333,,Data_76_23,285,,#N/A,,139,Data_76_29,Data_76_30,Data_76_31,,,Data_76_34,,,,663,726,,NULL,343,Data_76_43,Data_76_44,#N/A,621,564,167,Data_76_49,0
77,Evan,Garcia,evan.garcia@example,,05/15/1990,Sales,109398,,Good worker,886,Data_77_12,795,902,,483,,, ,,error,#N/A,error,938,,41,Data_77_27,,error,Data_77_30,,225, ,Data_77_34,,13,,Data_77_38,968,Data_77_40,Data_77_41,,#N/A,Data_77_44,34,,342,803,Data_77_49,
78,Hannah,Garcia,hannah.garcia@example.com,555-3893,05/15/1990,,73226,Active,,error,#N/A,97,74,,Data_78_16,131,Data_78_18,error,,NULL,386,,,489,152,Data_78_27,,,Data_78_30,330,103,,Data_78_34,646,Data_78_36,Data_78_37,error,677,,Data_78_41,Data_78_42,Data_78_43,282,Data_78_45,NULL,Data_78_47,,error,664
79,Alice,Davis,alice.davis@example.com,555-3794,05/15/1990,,94280,Pending,,345,,344,,Data_79_15,Data_79_16,,Data_79_18,Data_79_19,75,Data_79_21,,Data_79_23,577,755,,872,Data_79_28,Data_79_29,#N/A,,#N/A,,638, , ,Data_79_37,317,Data_79_39,755,,#N/A,258,Data_79_44,,Data_79_46,error,Data_79_48,,43
80,Bob,Williams,bob.williams@example.com,555-3917,1990-05-15,Finance,90314,,Good worker,NULL,Data_80_12,6, ,NULL,111,Data_80_17,523,, ,,,Data_80_23,,,,Data_80_27,,974,716,,,error,Data_80_34,error,Data_80_36,NULL,,Data_80_39,,error,,,Data_80_44,error,,187,Data_80_48,,196
81,Bob,Williams,bob.williams@example.com,555-6264,05/15/1990,Sales,74996,Inactive,,474,854,166,,508,3,759,,137,,,364,378,,Data_81_25,error,233,728,779,579,,582,error,Data_81_34,,707,,,248,112,Data_81_41,,,539,,766,NULL,694,#N/A,
82,Alice,Garcia,alice.garcia@example,555-8665,05/15/1990,IT,61682,Pending,Needs review,454,Data_82_12,723,,862,Data_82_16,200,,,440,,,,,590,,Data_82_27,Data_82_28,, ,Data_82_31,960,331,,732,733,,364,Data_82_39,,225,,85,,,Data_82_46,Data_82_47,NULL,588,611
