ID,FirstName,LastName,Email,Phone,DateOfBirth,Department,Salary,Status,Notes,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20
24,,Smith,george.smith@example.com,555-8167,May 15th 90,Finance,$67290,,"Promoted, highly skilled",NULL,,Data_24_13,404,error,,,Data_24_18,,425
25,  Alice  ,Miller,alice.miller@example.com,555-6429,,Finance,100215,,,,52,748,Data_25_14,Data_25_15,976,,,,NULL
26,Alice,Johnson,alice.johnsonexample.com,555-4669,May 15th 90,Sales,54808,Pending,On leave,,Data_26_12,error,,,133,Data_26_17,Data_26_18,Data_26_19,
27,Hannah,Williams,hannah.williams@example.com,555-2482,05/15/1990,HR,76014,Active,Needs review,764,Data_27_12,,241,,error,,Data_27_18,304,Data_27_20
28,Bob,Davis,bob.davis@example.com,555-1771,1990-05-15,Engineering,57318,Pending,Good worker,314,error,#N/A,Data_28_14,,132,Data_28_17,,753,Data_28_20
29,George,Garcia,george.garcia@example.com,,1990-05-15,Sales,92368,Inactive,Needs review,399,,Data_29_13,183,,#N/A,505,Data_29_18,411,Data_29_20
30,Diana,Williams,diana.williamsexample.com,555-3513,1990-05-15,Finance,TBD,Pending,,523,591,579,error,,,Data_30_17,,75,
31,Charlie,Jones,charlie.jones@example.com,555-7593,05/15/1990,Marketing,95425,Inactive,,265, ,Data_31_13,error,463,error,Data_31_17,872,462, 
32,Evan,,,555-6640,05/15/1990,Marketing,$59004,,,553,918,311,Data_32_14,#N/A,485,611,611,Data_32_19,Data_32_20
33,George,Miller,george.miller@example.com,,May 15th 90,HR,106022,,"Promoted, highly skilled",,#N/A,,,,840,NULL,Data_33_18,,Data_33_20
34,Charlie,Garcia,charlie.garcia@example.com,555-9799,May 15th 90,Finance,111964,Pending,,,NULL,,Data_34_14,,Data_34_16, ,,NULL,Data_34_20
35,Evan,Garcia,evan.garcia@example.com,,,IT,118279,,"Promoted, highly skilled",,#N/A,348,516,#N/A,354,,error,,616
36,Fiona,Miller,fiona.miller@example,,05/15/1990,HR,65655,Pending,Good worker,Data_36_11,969,497,321,Data_36_15, ,,,,164
37,George,Smith,george.smith@example.com,555-4286,1990-05-15,,74812,Pending,On leave,,Data_37_12,,Data_37_14,,,,,56,Data_37_20
38,Fiona,Miller,fiona.miller@example.com,555-5038,1990-05-15,,69201,,,610,,,664,Data_38_15,,239,350,,Data_38_20
39,Fiona,Johnson,fiona.johnson@example.com,555-9557,1990-05-15,IT,99736,Pending,Needs review,,,,,Data_39_15,211,,,52,
40,Hannah,Miller,hannah.miller@example.com,555-4725,May 15th 90,Marketing,54269,Inactive,,397,,,,603,,error,255,Data_40_19,
41,Alice,Brown,alice.brown@example.com,555-5747,,Engineering,53636,,On leave,196,,507,715,188,284,error,304,,Data_41_20
42,Charlie,Smith,charlie.smith@example.com,555-9729,05/15/1990,Marketing,99739,,Needs review,292,562,Data_42_13,196,Data_42_15,477,272,783,,Data_42_20
43,Alice,Brown,alice.brown@example.com,555-6901,1990-05-15,Marketing,80589,Active,Needs review,755,,Data_43_13,,Data_43_15,764,,error,809,error
44,Hannah,Williams,hannah.williams@example.com,555-4732,05/15/1990,IT,108263,,,Data_44_11,Data_44_12, ,795,765,NULL,,,634,
45,Diana,Jones,diana.jones@example.com,555-6696,05/15/1990,Engineering,82874,Pending,On leave,error,,,445,Data_45_15,,NULL,#N/A,#N/A,Data_45_20
46,Hannah,Smith,hannah.smith@example.com,555-6979,,Engineering,74789,Pending,On leave,,Data_46_12,876,350,error,11,error,247,NULL,Data_46_20
47,Hannah,Johnson,hannah.johnson@example.com,555-2462,May 15th 90,IT,62722,,Needs review,,1,,,,249,#N/A,error,,660
48,  Diana  ,Smith,diana.smithexample.com,555-3583,1990-05-15,Marketing,$65072,Active,"Promoted, highly skilled",,449,151,279,875,,35,NULL,619,
49,Diana,Jones,diana.jones@example.com,555-7313,05/15/1990,HR,69358,,Needs review,error,201,,532,891,464,Data_49_17,745,,Data_49_20
50,Bob,Garcia,bob.garcia@example.com,,1990-05-15,,$59506,Inactive,,,Data_50_12,Data_50_13,,NULL, ,Data_50_17,Data_50_18,Data_50_19,
